"rank","job_title_short","skill_name","demand_count","avg_salary","demand_weighted_score"
"1","Data Analyst","sql","398","97237","252804.83"
"2","Data Analyst","python","236","101397","240606.16"
"3","Data Analyst","tableau","230","99288","234491.23"
"4","Data Analyst","r","148","100499","218109.13"
"5","Data Analyst","excel","256","87288","210210.45"
"6","Data Analyst","power bi","110","97431","198894.93"
"7","Data Analyst","sas","63","98902","177958.38"
"8","Data Analyst","sas","63","98902","177958.38"
"9","Data Analyst","snowflake","37","112948","177125.25"
"10","Data Analyst","looker","49","103795","175433.90"
"1","Data Scientist","python","763","143828","414587.74"
"2","Data Scientist","sql","591","142833","395874.15"
"3","Data Scientist","r","394","137885","357880.00"
"4","Data Scientist","aws","217","149630","349604.47"
"5","Data Scientist","tableau","219","146970","343975.07"
"6","Data Scientist","spark","149","150188","326386.50"
"7","Data Scientist","tensorflow","126","151536","318281.75"
"8","Data Scientist","pytorch","115","152603","314468.67"
"9","Data Scientist","pandas","113","144816","297318.61"
"10","Data Scientist","azure","122","142306","296901.52"
